DATE,TRAPID,ADULTS
5/16/1994,1,0
5/16/1994,2,0
5/16/1994,3,0
5/16/1994,4,0
5/16/1994,5,0
5/16/1994,11,0
5/16/1994,12,0
5/16/1994,13,0
5/16/1994,14,0
5/16/1994,15,0
5/16/1994,31,0
5/16/1994,32,0
5/16/1994,33,0
5/16/1994,34,0
5/16/1994,35,0
5/16/1994,36,0
5/16/1994,37,0
5/16/1994,38,0
5/16/1994,39,0
5/16/1994,40,0
5/16/1994,66,0
5/16/1994,67,0
5/16/1994,68,0
5/16/1994,69,0
5/16/1994,70,0
5/16/1994,86,0
5/16/1994,87,0
5/16/1994,88,0
5/16/1994,89,0
5/16/1994,90,0
5/16/1994,96,0
5/16/1994,97,0
5/16/1994,98,0
5/16/1994,99,0
5/16/1994,100,0
5/16/1994,101,0
5/16/1994,102,0
5/16/1994,103,0
5/16/1994,104,0
5/16/1994,105,0
5/16/1994,141,0
5/16/1994,142,0
5/16/1994,143,0
5/16/1994,144,0
5/16/1994,145,0
5/16/1994,151,0
5/16/1994,152,0
5/16/1994,153,0
5/16/1994,154,0
5/16/1994,155,0
5/16/1994,186,0
5/16/1994,187,0
5/16/1994,188,0
5/16/1994,189,0
5/16/1994,190,0
5/16/1994,206,0
5/16/1994,207,0
5/16/1994,208,0
5/16/1994,209,0
5/16/1994,210,0
5/23/1994,1,0
5/23/1994,2,0
5/23/1994,3,0
5/23/1994,4,0
5/23/1994,5,0
5/23/1994,11,0
5/23/1994,12,0
5/23/1994,13,0
5/23/1994,14,0
5/23/1994,15,0
5/23/1994,31,0
5/23/1994,32,0
5/23/1994,33,0
5/23/1994,34,0
5/23/1994,35,0
5/23/1994,36,0
5/23/1994,37,0
5/23/1994,38,0
5/23/1994,39,0
5/23/1994,40,0
5/23/1994,66,0
5/23/1994,67,0
5/23/1994,68,0
5/23/1994,69,0
5/23/1994,70,0
5/23/1994,86,0
5/23/1994,87,0
5/23/1994,88,0
5/23/1994,89,0
5/23/1994,90,0
5/23/1994,96,0
5/23/1994,97,0
5/23/1994,98,0
5/23/1994,99,0
5/23/1994,100,0
5/23/1994,101,0
5/23/1994,102,0
5/23/1994,103,0
5/23/1994,104,0
5/23/1994,105,0
5/23/1994,141,0
5/23/1994,142,0
5/23/1994,143,0
5/23/1994,144,0
5/23/1994,145,0
5/23/1994,151,0
5/23/1994,152,0
5/23/1994,153,0
5/23/1994,154,0
5/23/1994,155,0
5/23/1994,186,0
5/23/1994,187,0
5/23/1994,188,0
5/23/1994,189,0
5/23/1994,190,0
5/23/1994,206,0
5/23/1994,207,0
5/23/1994,208,0
5/23/1994,209,0
5/23/1994,210,0
5/31/1994,1,0
5/31/1994,2,0
5/31/1994,3,0
5/31/1994,4,0
5/31/1994,5,0
5/31/1994,11,0
5/31/1994,12,0
5/31/1994,13,0
5/31/1994,14,0
5/31/1994,31,0
5/31/1994,32,0
5/31/1994,33,0
5/31/1994,34,0
5/31/1994,35,0
5/31/1994,36,0
5/31/1994,37,0
5/31/1994,38,0
5/31/1994,39,0
5/31/1994,40,0
5/31/1994,66,0
5/31/1994,67,0
5/31/1994,68,0
5/31/1994,69,0
5/31/1994,70,0
5/31/1994,86,0
5/31/1994,87,0
5/31/1994,88,0
5/31/1994,89,0
5/31/1994,90,0
5/31/1994,96,0
5/31/1994,97,0
5/31/1994,98,0
5/31/1994,99,0
5/31/1994,100,0
5/31/1994,101,0
5/31/1994,102,0
5/31/1994,103,0
5/31/1994,104,0
5/31/1994,105,0
5/31/1994,141,0
5/31/1994,143,0
5/31/1994,144,0
5/31/1994,145,0
5/31/1994,151,0
5/31/1994,152,0
5/31/1994,153,0
5/31/1994,154,0
5/31/1994,155,0
5/31/1994,186,0
5/31/1994,187,0
5/31/1994,188,0
5/31/1994,189,0
5/31/1994,190,0
5/31/1994,206,0
5/31/1994,207,0
5/31/1994,208,0
5/31/1994,209,0
5/31/1994,210,0
6/6/1994,1,0
6/6/1994,2,0
6/6/1994,3,0
6/6/1994,4,0
6/6/1994,5,0
6/6/1994,11,0
6/6/1994,13,0
6/6/1994,14,0
6/6/1994,15,0
6/6/1994,31,0
6/6/1994,32,0
6/6/1994,33,0
6/6/1994,34,0
6/6/1994,35,0
6/6/1994,36,0
6/6/1994,37,0
6/6/1994,38,0
6/6/1994,39,0
6/6/1994,40,0
6/6/1994,66,0
6/6/1994,67,0
6/6/1994,68,0
6/6/1994,69,0
6/6/1994,70,0
6/6/1994,86,0
6/6/1994,87,0
6/6/1994,88,0
6/6/1994,89,0
6/6/1994,96,0
6/6/1994,97,0
6/6/1994,98,0
6/6/1994,99,0
6/6/1994,100,0
6/6/1994,101,0
6/6/1994,102,0
6/6/1994,103,0
6/6/1994,105,0
6/6/1994,141,0
6/6/1994,142,0
6/6/1994,143,0
6/6/1994,144,0
6/6/1994,145,0
6/6/1994,152,0
6/6/1994,153,0
6/6/1994,154,0
6/6/1994,155,0
6/6/1994,186,0
6/6/1994,187,0
6/6/1994,189,0
6/6/1994,190,0
6/6/1994,206,0
6/6/1994,207,0
6/6/1994,208,0
6/6/1994,209,0
6/6/1994,210,0
6/14/1994,1,0
6/14/1994,2,0
6/14/1994,3,0
6/14/1994,4,0
6/14/1994,5,0
6/14/1994,6,0
6/14/1994,7,0
6/14/1994,8,0
6/14/1994,9,0
6/14/1994,10,0
6/14/1994,11,0
6/14/1994,12,0
6/14/1994,13,0
6/14/1994,14,0
6/14/1994,15,0
6/14/1994,16,0
6/14/1994,17,0
6/14/1994,18,0
6/14/1994,19,0
6/14/1994,20,0
6/14/1994,23,0
6/14/1994,24,0
6/14/1994,25,0
6/14/1994,26,0
6/14/1994,27,0
6/14/1994,28,0
6/14/1994,29,0
6/14/1994,30,0
6/14/1994,31,0
6/14/1994,32,0
6/14/1994,33,0
6/14/1994,34,0
6/14/1994,35,0
6/14/1994,36,0
6/14/1994,37,0
6/14/1994,38,0
6/14/1994,39,0
6/14/1994,40,0
6/14/1994,41,0
6/14/1994,42,0
6/14/1994,43,0
6/14/1994,44,0
6/14/1994,45,0
6/14/1994,46,0
6/14/1994,47,0
6/14/1994,48,0
6/14/1994,49,0
6/14/1994,50,0
6/14/1994,51,0
6/14/1994,52,0
6/14/1994,53,0
6/14/1994,54,0
6/14/1994,55,0
6/14/1994,56,0
6/14/1994,57,0
6/14/1994,58,0
6/14/1994,59,0
6/14/1994,60,0
6/14/1994,61,0
6/14/1994,62,0
6/14/1994,63,0
6/14/1994,64,0
6/14/1994,65,0
6/14/1994,66,0
6/14/1994,67,0
6/14/1994,68,0
6/14/1994,69,0
6/14/1994,70,0
6/14/1994,71,0
6/14/1994,72,0
6/14/1994,73,0
6/14/1994,74,0
6/14/1994,75,0
6/14/1994,76,0
6/14/1994,77,0
6/14/1994,78,0
6/14/1994,79,0
6/14/1994,80,0
6/14/1994,81,0
6/14/1994,82,0
6/14/1994,83,0
6/14/1994,84,0
6/14/1994,85,0
6/14/1994,86,0
6/14/1994,87,0
6/14/1994,88,0
