"","Nyears","startPop","noise","nbreaksin","nbreaksout","startK","startR","changeK","changeR","victory","inSet"
"1",15,3000,5,0,1,2000,2,75,25,0,0
"2",15,3000,5,0,2,2000,2,75,25,0,0
"3",15,3000,5,0,2,2000,2,75,25,0,0
"4",15,3000,5,0,1,2000,2,75,25,0,0
"5",15,3000,5,0,2,2000,2,75,25,0,0
"6",15,3000,5,1,2,2000,2,75,25,2,0
"7",15,3000,5,1,2,2000,2,75,25,2,0
"8",15,3000,5,1,2,2000,2,75,25,2,0
"9",15,3000,5,1,1,2000,2,75,25,1,1
"10",15,3000,5,1,2,2000,2,75,25,2,0
"11",15,3000,5,2,2,2000,2,75,25,1,1
"12",15,3000,5,2,2,2000,2,75,25,1,1
"13",15,3000,5,2,2,2000,2,75,25,4,1
"14",15,3000,5,2,2,2000,2,75,25,1,1
"15",15,3000,5,2,2,2000,2,75,25,1,1
"16",15,3000,5,2,2,2000,2,75,25,1,1
"17",15,3000,5,2,2,2000,2,75,25,1,1
"18",15,3000,5,2,2,2000,2,75,25,1,1
"19",15,3000,5,2,2,2000,2,75,25,1,1
"20",15,3000,5,2,2,2000,2,75,25,1,1
"21",15,3000,5,0,2,2000,2,75,25,0,1
"22",15,3000,5,0,2,2000,2,75,25,0,0
"23",15,3000,5,0,2,2000,2,75,25,0,1
"24",15,3000,5,0,1,2000,2,75,25,0,0
"25",15,3000,5,0,2,2000,2,75,25,0,0
"26",15,3000,5,1,1,2000,2,75,25,1,1
"27",15,3000,5,1,2,2000,2,75,25,2,0
"28",15,3000,5,1,1,2000,2,75,25,1,1
"29",15,3000,5,1,2,2000,2,75,25,2,0
"30",15,3000,5,1,1,2000,2,75,25,1,1
"31",15,3000,5,2,2,2000,2,75,25,1,1
"32",15,3000,5,2,2,2000,2,75,25,1,1
"33",15,3000,5,2,2,2000,2,75,25,1,1
"34",15,3000,5,2,2,2000,2,75,25,1,1
"35",15,3000,5,2,2,2000,2,75,25,1,1
"36",15,3000,5,2,2,2000,2,75,25,4,0
"37",15,3000,5,2,2,2000,2,75,25,4,0
"38",15,3000,5,2,2,2000,2,75,25,4,0
"39",15,3000,5,2,2,2000,2,75,25,4,0
"40",15,3000,5,2,2,2000,2,75,25,4,0
"41",15,3000,5,0,2,2000,2,75,25,0,0
"42",15,3000,5,0,1,2000,2,75,25,0,0
"43",15,3000,5,0,2,2000,2,75,25,0,0
"44",15,3000,5,0,1,2000,2,75,25,0,1
"45",15,3000,5,0,2,2000,2,75,25,0,0
"46",15,3000,5,1,2,2000,2,75,25,2,1
"47",15,3000,5,1,2,2000,2,75,25,2,0
"48",15,3000,5,1,1,2000,2,75,25,1,1
"49",15,3000,5,1,1,2000,2,75,25,1,1
"50",15,3000,5,1,1,2000,2,75,25,1,1
"51",15,3000,5,2,2,2000,2,75,25,1,1
"52",15,3000,5,2,2,2000,2,75,25,1,1
"53",15,3000,5,2,2,2000,2,75,25,1,1
"54",15,3000,5,2,2,2000,2,75,25,1,1
"55",15,3000,5,2,2,2000,2,75,25,1,1
"56",15,3000,5,2,2,2000,2,75,25,1,1
"57",15,3000,5,2,2,2000,2,75,25,1,1
"58",15,3000,5,2,2,2000,2,75,25,4,0
"59",15,3000,5,2,2,2000,2,75,25,1,1
"60",15,3000,5,2,2,2000,2,75,25,1,1
"61",15,3000,5,0,0,2000,2,75,25,1,1
"62",15,3000,5,0,2,2000,2,75,25,0,1
"63",15,3000,5,0,2,2000,2,75,25,0,0
"64",15,3000,5,0,0,2000,2,75,25,1,1
"65",15,3000,5,0,0,2000,2,75,25,1,1
