"","Nyears","startPop","noise","nbreaksin","nbreaksout","startK","startR","changeK","changeR","victory","inSet"
"1",25,3000,5,0,2,2000,2,40,20,0,0
"2",25,3000,5,0,0,2000,2,40,20,1,1
"3",25,3000,5,0,0,2000,2,40,20,1,1
"4",25,3000,5,0,1,2000,2,40,20,0,0
"5",25,3000,5,0,1,2000,2,40,20,0,1
"6",25,3000,5,0,0,2000,2,40,20,1,1
"7",25,3000,5,0,1,2000,2,40,20,0,0
"8",25,3000,5,0,0,2000,2,40,20,1,1
"9",25,3000,5,0,2,2000,2,40,20,0,0
"10",25,3000,5,0,0,2000,2,40,20,1,1
"11",25,3000,5,1,1,2000,2,40,20,1,1
"12",25,3000,5,1,1,2000,2,40,20,1,1
"13",25,3000,5,1,2,2000,2,40,20,2,0
"14",25,3000,5,1,1,2000,2,40,20,1,1
"15",25,3000,5,1,1,2000,2,40,20,1,1
"16",25,3000,5,1,1,2000,2,40,20,1,1
"17",25,3000,5,1,2,2000,2,40,20,2,0
"18",25,3000,5,1,2,2000,2,40,20,2,0
"19",25,3000,5,1,1,2000,2,40,20,1,1
"20",25,3000,5,1,1,2000,2,40,20,1,1
"21",25,3000,5,2,2,2000,2,40,20,1,1
"22",25,3000,5,2,2,2000,2,40,20,1,1
"23",25,3000,5,2,2,2000,2,40,20,1,1
"24",25,3000,5,2,2,2000,2,40,20,1,1
"25",25,3000,5,2,2,2000,2,40,20,1,1
"26",25,3000,5,2,2,2000,2,40,20,1,1
"27",25,3000,5,2,2,2000,2,40,20,1,1
"28",25,3000,5,2,2,2000,2,40,20,1,1
"29",25,3000,5,2,2,2000,2,40,20,1,1
"30",25,3000,5,2,2,2000,2,40,20,1,1
"31",25,3000,5,3,3,2000,2,40,20,4,0
"32",25,3000,5,3,3,2000,2,40,20,1,1
"33",25,3000,5,3,3,2000,2,40,20,1,1
"34",25,3000,5,3,3,2000,2,40,20,4,0
"35",25,3000,5,3,3,2000,2,40,20,1,1
"36",25,3000,5,3,3,2000,2,40,20,1,1
"37",25,3000,5,3,3,2000,2,40,20,1,1
"38",25,3000,5,3,3,2000,2,40,20,1,1
"39",25,3000,5,3,3,2000,2,40,20,1,1
"40",25,3000,5,3,4,2000,2,40,20,2,0
"41",25,3000,5,0,0,2000,2,40,20,1,1
"42",25,3000,5,0,0,2000,2,40,20,1,1
"43",25,3000,5,0,2,2000,2,40,20,0,0
"44",25,3000,5,0,2,2000,2,40,20,0,0
"45",25,3000,5,0,0,2000,2,40,20,1,1
"46",25,3000,5,0,1,2000,2,40,20,0,0
"47",25,3000,5,0,0,2000,2,40,20,1,1
"48",25,3000,5,0,2,2000,2,40,20,0,0
"49",25,3000,5,0,0,2000,2,40,20,1,1
"50",25,3000,5,0,0,2000,2,40,20,1,1
"51",25,3000,5,1,2,2000,2,40,20,2,0
"52",25,3000,5,1,2,2000,2,40,20,2,0
"53",25,3000,5,1,1,2000,2,40,20,1,1
"54",25,3000,5,1,2,2000,2,40,20,0,0
"55",25,3000,5,1,1,2000,2,40,20,1,1
"56",25,3000,5,1,2,2000,2,40,20,2,1
"57",25,3000,5,1,1,2000,2,40,20,1,1
"58",25,3000,5,1,1,2000,2,40,20,1,1
"59",25,3000,5,1,1,2000,2,40,20,1,1
"60",25,3000,5,1,2,2000,2,40,20,2,0
"61",25,3000,5,2,2,2000,2,40,20,4,0
"62",25,3000,5,2,3,2000,2,40,20,2,0
"63",25,3000,5,2,3,2000,2,40,20,2,0
"64",25,3000,5,2,2,2000,2,40,20,1,1
"65",25,3000,5,2,2,2000,2,40,20,1,1
"66",25,3000,5,2,2,2000,2,40,20,4,0
"67",25,3000,5,2,2,2000,2,40,20,1,1
"68",25,3000,5,2,2,2000,2,40,20,1,1
"69",25,3000,5,2,2,2000,2,40,20,1,1
"70",25,3000,5,2,2,2000,2,40,20,1,1
"71",25,3000,5,3,3,2000,2,40,20,1,1
"72",25,3000,5,3,3,2000,2,40,20,1,1
"73",25,3000,5,3,3,2000,2,40,20,1,1
"74",25,3000,5,3,3,2000,2,40,20,1,1
"75",25,3000,5,3,3,2000,2,40,20,1,1
"76",25,3000,5,3,3,2000,2,40,20,1,1
"77",25,3000,5,3,3,2000,2,40,20,1,1
"78",25,3000,5,3,3,2000,2,40,20,1,1
"79",25,3000,5,3,3,2000,2,40,20,1,1
"80",25,3000,5,3,3,2000,2,40,20,1,1
"81",25,3000,5,0,0,2000,2,40,20,1,1
"82",25,3000,5,0,1,2000,2,40,20,0,0
"83",25,3000,5,0,0,2000,2,40,20,1,1
"84",25,3000,5,0,2,2000,2,40,20,0,0
"85",25,3000,5,0,1,2000,2,40,20,0,0
"86",25,3000,5,0,1,2000,2,40,20,0,0
"87",25,3000,5,0,2,2000,2,40,20,0,0
"88",25,3000,5,0,0,2000,2,40,20,1,1
"89",25,3000,5,0,1,2000,2,40,20,0,1
"90",25,3000,5,0,0,2000,2,40,20,1,1
"91",25,3000,5,1,2,2000,2,40,20,2,0
"92",25,3000,5,1,1,2000,2,40,20,1,1
"93",25,3000,5,1,1,2000,2,40,20,1,1
"94",25,3000,5,1,1,2000,2,40,20,1,1
"95",25,3000,5,1,1,2000,2,40,20,1,1
"96",25,3000,5,1,1,2000,2,40,20,1,1
"97",25,3000,5,1,1,2000,2,40,20,1,1
"98",25,3000,5,1,1,2000,2,40,20,1,1
"99",25,3000,5,1,2,2000,2,40,20,2,0
"100",25,3000,5,1,1,2000,2,40,20,1,1
"101",25,3000,5,2,2,2000,2,40,20,1,1
"102",25,3000,5,2,2,2000,2,40,20,1,1
"103",25,3000,5,2,2,2000,2,40,20,1,1
"104",25,3000,5,2,2,2000,2,40,20,1,1
"105",25,3000,5,2,2,2000,2,40,20,1,1
"106",25,3000,5,2,2,2000,2,40,20,1,1
"107",25,3000,5,2,3,2000,2,40,20,2,1
"108",25,3000,5,2,2,2000,2,40,20,1,1
"109",25,3000,5,2,3,2000,2,40,20,2,0
"110",25,3000,5,2,2,2000,2,40,20,1,1
"111",25,3000,5,3,3,2000,2,40,20,1,1
"112",25,3000,5,3,3,2000,2,40,20,1,1
"113",25,3000,5,3,3,2000,2,40,20,1,1
"114",25,3000,5,3,3,2000,2,40,20,1,1
"115",25,3000,5,3,3,2000,2,40,20,1,1
"116",25,3000,5,3,3,2000,2,40,20,1,1
"117",25,3000,5,3,3,2000,2,40,20,1,1
"118",25,3000,5,3,3,2000,2,40,20,1,1
"119",25,3000,5,3,3,2000,2,40,20,1,1
"120",25,3000,5,3,3,2000,2,40,20,1,1
"121",25,3000,5,0,0,2000,2,40,20,1,1
"122",25,3000,5,0,0,2000,2,40,20,1,1
"123",25,3000,5,0,2,2000,2,40,20,0,0
