"","Nyears","startPop","noise","nbreaksin","nbreaksout","startK","startR","changeK","changeR","victory","inSet"
"1",25,3000,5,0,4,2000,2,75,25,0,0
"2",25,3000,5,0,4,2000,2,75,25,0,0
"3",25,3000,5,0,4,2000,2,75,25,0,0
"4",25,3000,5,0,3,2000,2,75,25,0,0
"5",25,3000,5,0,3,2000,2,75,25,0,0
"6",25,3000,5,1,4,2000,2,75,25,2,0
"7",25,3000,5,1,3,2000,2,75,25,2,0
"8",25,3000,5,1,3,2000,2,75,25,2,0
"9",25,3000,5,1,4,2000,2,75,25,2,0
"10",25,3000,5,1,3,2000,2,75,25,2,0
"11",25,3000,5,2,3,2000,2,75,25,0,0
"12",25,3000,5,2,4,2000,2,75,25,2,0
"13",25,3000,5,2,3,2000,2,75,25,2,0
"14",25,3000,5,2,3,2000,2,75,25,2,0
"15",25,3000,5,2,3,2000,2,75,25,2,0
"16",25,3000,5,3,4,2000,2,75,25,2,0
"17",25,3000,5,3,4,2000,2,75,25,2,0
"18",25,3000,5,3,3,2000,2,75,25,1,1
"19",25,3000,5,3,3,2000,2,75,25,4,1
"20",25,3000,5,3,4,2000,2,75,25,2,0
"21",25,3000,5,0,3,2000,2,75,25,0,0
"22",25,3000,5,0,3,2000,2,75,25,0,0
"23",25,3000,5,0,3,2000,2,75,25,0,0
"24",25,3000,5,0,2,2000,2,75,25,0,0
"25",25,3000,5,0,3,2000,2,75,25,0,0
"26",25,3000,5,1,4,2000,2,75,25,2,0
"27",25,3000,5,1,3,2000,2,75,25,2,1
"28",25,3000,5,1,2,2000,2,75,25,2,0
"29",25,3000,5,1,2,2000,2,75,25,2,0
"30",25,3000,5,1,4,2000,2,75,25,2,0
"31",25,3000,5,2,3,2000,2,75,25,2,1
"32",25,3000,5,2,3,2000,2,75,25,2,0
"33",25,3000,5,2,3,2000,2,75,25,2,0
"34",25,3000,5,2,3,2000,2,75,25,2,0
"35",25,3000,5,2,3,2000,2,75,25,2,0
"36",25,3000,5,3,4,2000,2,75,25,2,0
"37",25,3000,5,3,4,2000,2,75,25,2,0
"38",25,3000,5,3,4,2000,2,75,25,2,1
"39",25,3000,5,3,3,2000,2,75,25,1,1
"40",25,3000,5,3,4,2000,2,75,25,2,0
"41",25,3000,5,0,4,2000,2,75,25,0,0
"42",25,3000,5,0,3,2000,2,75,25,0,0
"43",25,3000,5,0,5,2000,2,75,25,0,0
"44",25,3000,5,0,2,2000,2,75,25,0,0
"45",25,3000,5,0,4,2000,2,75,25,0,0
"46",25,3000,5,1,3,2000,2,75,25,2,1
"47",25,3000,5,1,3,2000,2,75,25,2,0
"48",25,3000,5,1,2,2000,2,75,25,2,0
"49",25,3000,5,1,3,2000,2,75,25,2,0
"50",25,3000,5,1,4,2000,2,75,25,2,0
"51",25,3000,5,2,3,2000,2,75,25,2,1
"52",25,3000,5,2,5,2000,2,75,25,2,0
"53",25,3000,5,2,3,2000,2,75,25,2,0
"54",25,3000,5,2,4,2000,2,75,25,2,0
"55",25,3000,5,2,5,2000,2,75,25,2,0
"56",25,3000,5,3,4,2000,2,75,25,2,0
"57",25,3000,5,3,4,2000,2,75,25,2,0
"58",25,3000,5,3,3,2000,2,75,25,1,1
"59",25,3000,5,3,3,2000,2,75,25,1,1
"60",25,3000,5,3,4,2000,2,75,25,2,0
"61",25,3000,5,0,3,2000,2,75,25,0,0
"62",25,3000,5,0,2,2000,2,75,25,0,0
"63",25,3000,5,0,3,2000,2,75,25,0,0
"64",25,3000,5,0,3,2000,2,75,25,0,0
"65",25,3000,5,0,4,2000,2,75,25,0,0
"66",25,3000,5,1,3,2000,2,75,25,2,0
"67",25,3000,5,1,5,2000,2,75,25,0,0
"68",25,3000,5,1,2,2000,2,75,25,2,0
"69",25,3000,5,1,4,2000,2,75,25,2,0
"70",25,3000,5,1,3,2000,2,75,25,2,0
"71",25,3000,5,2,3,2000,2,75,25,2,0
"72",25,3000,5,2,4,2000,2,75,25,2,0
"73",25,3000,5,2,4,2000,2,75,25,2,0
"74",25,3000,5,2,4,2000,2,75,25,2,0
"75",25,3000,5,2,4,2000,2,75,25,2,0
"76",25,3000,5,3,5,2000,2,75,25,2,0
"77",25,3000,5,3,4,2000,2,75,25,2,0
"78",25,3000,5,3,5,2000,2,75,25,2,0
"79",25,3000,5,3,4,2000,2,75,25,2,0
"80",25,3000,5,3,4,2000,2,75,25,2,0
"81",25,3000,5,0,4,2000,2,75,25,0,0
"82",25,3000,5,0,4,2000,2,75,25,0,0
"83",25,3000,5,0,4,2000,2,75,25,0,0
"84",25,3000,5,0,3,2000,2,75,25,0,0
"85",25,3000,5,0,4,2000,2,75,25,0,0
"86",25,3000,5,1,2,2000,2,75,25,2,0
"87",25,3000,5,1,3,2000,2,75,25,2,0
"88",25,3000,5,1,3,2000,2,75,25,2,1
"89",25,3000,5,1,3,2000,2,75,25,2,0
"90",25,3000,5,1,4,2000,2,75,25,2,0
"91",25,3000,5,2,4,2000,2,75,25,2,0
"92",25,3000,5,2,3,2000,2,75,25,2,0
"93",25,3000,5,2,2,2000,2,75,25,1,1
"94",25,3000,5,2,2,2000,2,75,25,1,1
"95",25,3000,5,2,3,2000,2,75,25,2,0
"96",25,3000,5,3,3,2000,2,75,25,1,1
"97",25,3000,5,3,4,2000,2,75,25,2,0
"98",25,3000,5,3,3,2000,2,75,25,4,0
"99",25,3000,5,3,3,2000,2,75,25,4,1
"100",25,3000,5,3,3,2000,2,75,25,1,1
"101",25,3000,5,0,4,2000,2,75,25,0,0
"102",25,3000,5,0,4,2000,2,75,25,0,0
"103",25,3000,5,0,2,2000,2,75,25,0,1
"104",25,3000,5,0,4,2000,2,75,25,0,0
"105",25,3000,5,0,2,2000,2,75,25,0,0
"106",25,3000,5,1,4,2000,2,75,25,2,0
"107",25,3000,5,1,4,2000,2,75,25,2,0
"108",25,3000,5,1,4,2000,2,75,25,2,0
"109",25,3000,5,1,4,2000,2,75,25,2,0
"110",25,3000,5,1,4,2000,2,75,25,2,0
"111",25,3000,5,2,2,2000,2,75,25,1,1
"112",25,3000,5,2,4,2000,2,75,25,2,0
"113",25,3000,5,2,4,2000,2,75,25,2,0
"114",25,3000,5,2,3,2000,2,75,25,2,0
"115",25,3000,5,2,4,2000,2,75,25,2,0
"116",25,3000,5,3,3,2000,2,75,25,1,1
"117",25,3000,5,3,4,2000,2,75,25,2,1
"118",25,3000,5,3,3,2000,2,75,25,1,1
"119",25,3000,5,3,4,2000,2,75,25,2,0
"120",25,3000,5,3,4,2000,2,75,25,2,0
"121",25,3000,5,0,4,2000,2,75,25,0,0
"122",25,3000,5,0,5,2000,2,75,25,0,0
"123",25,3000,5,0,3,2000,2,75,25,0,0
"124",25,3000,5,0,1,2000,2,75,25,0,0
"125",25,3000,5,0,3,2000,2,75,25,0,0
"126",25,3000,5,1,4,2000,2,75,25,2,0
"127",25,3000,5,1,3,2000,2,75,25,2,0
"128",25,3000,5,1,1,2000,2,75,25,1,1
"129",25,3000,5,1,3,2000,2,75,25,2,0
"130",25,3000,5,1,3,2000,2,75,25,2,0
"131",25,3000,5,2,3,2000,2,75,25,2,0
"132",25,3000,5,2,3,2000,2,75,25,2,0
"133",25,3000,5,2,4,2000,2,75,25,2,0
"134",25,3000,5,2,3,2000,2,75,25,2,0
"135",25,3000,5,2,3,2000,2,75,25,2,1
"136",25,3000,5,3,3,2000,2,75,25,1,1
"137",25,3000,5,3,5,2000,2,75,25,2,0
"138",25,3000,5,3,3,2000,2,75,25,1,1
"139",25,3000,5,3,5,2000,2,75,25,2,0
"140",25,3000,5,3,5,2000,2,75,25,2,0
"141",25,3000,5,0,3,2000,2,75,25,0,0
"142",25,3000,5,0,2,2000,2,75,25,0,0
"143",25,3000,5,0,3,2000,2,75,25,0,0
"144",25,3000,5,0,3,2000,2,75,25,0,0
"145",25,3000,5,0,4,2000,2,75,25,0,0
"146",25,3000,5,1,4,2000,2,75,25,2,0
"147",25,3000,5,1,2,2000,2,75,25,2,0
"148",25,3000,5,1,3,2000,2,75,25,2,0
"149",25,3000,5,1,1,2000,2,75,25,1,1
"150",25,3000,5,1,3,2000,2,75,25,2,0
"151",25,3000,5,2,3,2000,2,75,25,2,0
"152",25,3000,5,2,3,2000,2,75,25,2,0
"153",25,3000,5,2,3,2000,2,75,25,2,0
"154",25,3000,5,2,3,2000,2,75,25,2,0
"155",25,3000,5,2,3,2000,2,75,25,2,0
"156",25,3000,5,3,4,2000,2,75,25,2,0
"157",25,3000,5,3,4,2000,2,75,25,2,1
"158",25,3000,5,3,4,2000,2,75,25,2,0
"159",25,3000,5,3,4,2000,2,75,25,2,0
"160",25,3000,5,3,5,2000,2,75,25,2,0
"161",25,3000,5,0,2,2000,2,75,25,0,0
"162",25,3000,5,0,1,2000,2,75,25,0,0
"163",25,3000,5,0,3,2000,2,75,25,0,0
"164",25,3000,5,0,2,2000,2,75,25,0,0
"165",25,3000,5,0,2,2000,2,75,25,0,1
"166",25,3000,5,1,3,2000,2,75,25,2,0
"167",25,3000,5,1,4,2000,2,75,25,2,0
"168",25,3000,5,1,3,2000,2,75,25,2,0
"169",25,3000,5,1,3,2000,2,75,25,2,0
"170",25,3000,5,1,4,2000,2,75,25,2,0
"171",25,3000,5,2,4,2000,2,75,25,2,0
"172",25,3000,5,2,5,2000,2,75,25,2,0
"173",25,3000,5,2,5,2000,2,75,25,2,0
"174",25,3000,5,2,4,2000,2,75,25,2,0
"175",25,3000,5,2,3,2000,2,75,25,2,1
"176",25,3000,5,3,4,2000,2,75,25,2,0
"177",25,3000,5,3,3,2000,2,75,25,1,1
"178",25,3000,5,3,5,2000,2,75,25,2,0
"179",25,3000,5,3,5,2000,2,75,25,2,0
"180",25,3000,5,3,4,2000,2,75,25,2,0
"181",25,3000,5,0,4,2000,2,75,25,0,0
"182",25,3000,5,0,3,2000,2,75,25,0,0
"183",25,3000,5,0,4,2000,2,75,25,0,0
"184",25,3000,5,0,2,2000,2,75,25,0,0
"185",25,3000,5,0,0,2000,2,75,25,1,1
"186",25,3000,5,1,3,2000,2,75,25,2,0
"187",25,3000,5,1,4,2000,2,75,25,2,0
"188",25,3000,5,1,4,2000,2,75,25,2,0
"189",25,3000,5,1,3,2000,2,75,25,2,0
"190",25,3000,5,1,3,2000,2,75,25,2,0
"191",25,3000,5,2,4,2000,2,75,25,2,0
"192",25,3000,5,2,4,2000,2,75,25,2,0
"193",25,3000,5,2,4,2000,2,75,25,2,0
"194",25,3000,5,2,4,2000,2,75,25,2,0
"195",25,3000,5,2,4,2000,2,75,25,2,0
